preset_name,reg_idx,reg_name,hex_value
Half Echo,17,mLCOMB2,0x02b0
Half Echo,18,mRCOMB2,0x01d7
Half Echo,19,dLSAME,0x0358
Half Echo,20,dRSAME,0x026a
Half Echo,21,mLDIFF,0x01d6
Half Echo,22,mRDIFF,0x011e
Half Echo,23,mLCOMB3,0x012d
Half Echo,24,mRCOMB3,0x00b1
Half Echo,25,mLCOMB4,0x011f
Half Echo,26,mRCOMB4,0x0059
Half Echo,27,dLDIFF,0x01a0
Half Echo,28,dRDIFF,0x00e3
Half Echo,29,mLAPF1,0x0058
Half Echo,30,mRAPF1,0x0040
Half Echo,31,mLAPF2,0x0028
Half Echo,32,mRAPF2,0x0014
Half Echo,33,vLIN,0x8000
Half Echo,34,vRIN,0x8000
Space Echo,0,vLOUT,0x0000
Space Echo,1,vROUT,0x0000
Space Echo,2,mBASE,0x0000
Space Echo,3,dAPF1,0x033d
Space Echo,4,dAPF2,0x0231
Space Echo,5,vIIR,0x7e00
Space Echo,6,vCOMB1,0x5000
Space Echo,7,vCOMB2,0xb400
Space Echo,8,vCOMB3,0xb000
Space Echo,9,vCOMB4,0x4c00
Space Echo,10,vWALL,0xb000
Space Echo,11,vAPF1,0x6000
Space Echo,12,vAPF2,0x5400
Space Echo,13,mLSAME,0x1ed6
Space Echo,14,mRSAME,0x1a31
Space Echo,15,mLCOMB1,0x1d14
Space Echo,16,mRCOMB1,0x183b
Space Echo,17,mLCOMB2,0x1bc2
Space Echo,18,mRCOMB2,0x16b2
Space Echo,19,dLSAME,0x1a32
Space Echo,20,dRSAME,0x15ef
Space Echo,21,mLDIFF,0x15ee
Space Echo,22,mRDIFF,0x1055
Space Echo,23,mLCOMB3,0x1334
Space Echo,24,mRCOMB3,0x0f2d
Space Echo,25,mLCOMB4,0x11f6
Space Echo,26,mRCOMB4,0x0c5d
Space Echo,27,dLDIFF,0x1056
Space Echo,28,dRDIFF,0x0ae1
Space Echo,29,mLAPF1,0x0ae0
Space Echo,30,mRAPF1,0x07a2
Space Echo,31,mLAPF2,0x0464
Space Echo,32,mRAPF2,0x0232
Space Echo,33,vLIN,0x8000
Space Echo,34,vRIN,0x8000
Echo,0,vLOUT,0x0000
Echo,1,vROUT,0x0000
Echo,2,mBASE,0x0000
Echo,3,dAPF1,0x0001
Echo,4,dAPF2,0x0001
Echo,5,vIIR,0x7fff
Echo,6,vCOMB1,0x7fff
Echo,7,vCOMB2,0x0000
Echo,8,vCOMB3,0x0000
Echo,9,vCOMB4,0x0000
Echo,10,vWALL,0x8100
Echo,11,vAPF1,0x0000
Echo,12,vAPF2,0x0000
Echo,13,mLSAME,0x1fff
Echo,14,mRSAME,0x0fff
Echo,15,mLCOMB1,0x1005
Echo,16,mRCOMB1,0x0005
Echo,17,mLCOMB2,0x0000
Echo,18,mRCOMB2,0x0000
Echo,19,dLSAME,0x1005
Echo,20,dRSAME,0x0005
Echo,21,mLDIFF,0x0000
Echo,22,mRDIFF,0x0000
Echo,23,mLCOMB3,0x0000
Echo,24,mRCOMB3,0x0000
Echo,25,mLCOMB4,0x0000
Echo,26,mRCOMB4,0x0000
Echo,27,dLDIFF,0x0000
Echo,28,dRDIFF,0x0000
Echo,29,mLAPF1,0x1004
